"name.player","id.player","team","id.team","is.active_player","seasons.played","year.from","year.to","name.last","name.first","display_first_last","code.player","city.team","name.team","stem.team","code.team","games_played_flag","url.player"
"Martynas Andriuskevicius",53,NA,1,FALSE,1,2005,2006,"Andriuskevicius"," Martynas","Martynas Andriuskevicius","martynas_andriuskevicius",NA,NA,NA,NA,"Y","53http://stats.nba.com/player/#!/"
"Don Anielak",1916,NA,1,FALSE,0,1954,1954,"Anielak"," Don","Don Anielak","HISTADD_don_anielak",NA,NA,NA,NA,"Y","1916http://stats.nba.com/player/#!/"
"Michael Ansley",1917,NA,1,FALSE,2,1989,1991,"Ansley"," Michael","Michael Ansley","HISTADD_michael_ansley",NA,NA,NA,NA,"Y","1917http://stats.nba.com/player/#!/"
"Chris Anstey",241,NA,1,FALSE,2,1997,1999,"Anstey"," Chris","Chris Anstey","HISTADD_chris_anstey",NA,NA,NA,NA,"Y","241http://stats.nba.com/player/#!/"
"Giannis Antetokounmpo",1171,"18 3",14,TRUE,3,2013,2016,"Antetokounmpo"," Giannis","Giannis Antetokounmpo","giannis_antetokounmpo",18,3,18,3,"Y","1171http://stats.nba.com/player/#!/"
"Thanasis Antetokounmpo",1203,NA,1,FALSE,0,2015,2015,"Antetokounmpo"," Thanasis","Thanasis Antetokounmpo","thanasis_antetokounmpo",NA,NA,NA,NA,"Y","1203http://stats.nba.com/player/#!/"
"Carmelo Anthony",1508,"21 14",17,TRUE,13,2003,2016,"Anthony"," Carmelo","Carmelo Anthony","carmelo_anthony",21,14,21,14,"Y","1508http://stats.nba.com/player/#!/"
"Greg Anthony",1336,NA,1,FALSE,10,1991,2001,"Anthony"," Greg","Greg Anthony","HISTADD_greg_anthony",NA,NA,NA,NA,"Y","1336http://stats.nba.com/player/#!/"
"Joel Anthony",742,"10 22",30,TRUE,8,2007,2015,"Anthony"," Joel","Joel Anthony","joel_anthony",10,22,10,22,"Y","742http://stats.nba.com/player/#!/"
"Pero Antic",1189,NA,1,FALSE,1,2013,2014,"Antic"," Pero","Pero Antic","pero_antic",NA,NA,NA,NA,"Y","1189http://stats.nba.com/player/#!/"
"Keith Appling",1252,NA,1,FALSE,0,2015,2015,"Appling"," Keith","Keith Appling","keith_appling",NA,NA,NA,NA,"Y","1252http://stats.nba.com/player/#!/"
"Rafael Araujo",1590,NA,1,FALSE,2,2004,2006,"Araujo"," Rafael","Rafael Araujo","rafael_araujo",NA,NA,NA,NA,"Y","1590http://stats.nba.com/player/#!/"
